item_id,name,quality,classs,subclass,slot,level,reqlevel,modes,count,outof,source_raw
124124,Blood of Sargeras,3,7,10,0,40,45,1|2|23,29492,50785,1|2|4|5|16|17|19|21|23|25
124437,Shal'dorei Silk,1,7,5,0,40,45,2,199,50785,2|4|5|16|21
130106,Warlord Parjesh's Hauberk,1,12,0,0,1,,1|2|8|23|24,2861,50785,2
132183,Razor Tooth,0,0,8,0,40,,2,74,50785,2|16
134223,Coralplate Chestguard,2,4,4,5,50,40,1|2|8|23|24,1839,50785,2
134240,Brinewashed Leather Cowl,2,4,2,1,50,40,1|2|8|23|24,2400,50785,2
134251,Sea Stalker's Cinch,2,4,3,6,50,40,1|2|8|23|24,1089,50785,2
134261,Seawitch Gloves,2,4,1,10,50,40,1|2|8|23|24,903,50785,2
134441,Shellshock Footguards,3,4,2,8,50,40,1|2|8|23|24,1199,50785,2
134484,Crestrider Conduit Bracers,3,4,3,9,50,40,1|2|8|23|24,1084,50785,2
134492,Hatecoil Commander's Amulet,3,4,-3,2,50,40,1|2|8|23|24,3102,50785,2
137360,Shoulderpads of Crashing Waves,3,4,1,3,50,40,1|2|8|23|24,1388,50785,2
137361,Roaring Shellbreaker Greatbelt,3,4,4,6,50,40,1|2|8|23|24,1616,50785,2
137362,Parjesh's Medallion,3,4,-4,12,50,40,1|2|8|23|24,846,50785,2
137363,Bloodied Spearhead,3,3,-9,0,50,40,1|2|23,1320,50785,2
138482,Sovereign Soul,1,12,0,0,1,,1|2|8|23|24,1804,50785,2
138781,Brief History of the Aeons,0,0,8,0,1,,1|2|23|24,159,50785,2
138786,Talisman of Victory,0,0,8,0,1,,23,17714,131495,2
138993,Rarefied Water,1,12,0,0,1,,1|2|8|23|24,2542,50785,2
139574,Coil of the Drowned Queen,6,0,8,0,45,,1|2|23,378,50785,2
140220,Scavenged Cloth,2,15,4,0,1,,1,85,33068,2
140222,Harvested Goods,2,15,4,0,1,,2,91,50785,2|21
140224,Butchered Meat,2,15,4,0,1,,1,81,33068,2
140227,Bloodhunter's Quarry,2,15,4,0,1,,23,223,131495,2
